date,price,promo,weekday,sales
2026-01-04,24.99,2500.0,340.5,1085
2026-01-11,24.99,80.0,410.2,935
2026-01-18,24.99,50.0,290.0,860
2026-01-25,24.99,95.0,315.8,885
2026-02-01,21.50,0.0,620.4,1150
2026-02-08,21.50,15.0,510.0,1080
2026-02-15,22.00,0.0,380.5,955
2026-02-22,22.00,2100.0,460.2,1180
2026-03-01,26.50,110.0,210.4,680
2026-03-08,26.50,45.0,195.0,660
2026-03-15,25.99,60.0,340.2,765
2026-03-22,25.99,0.0,285.6,715
2026-03-29,24.00,1850.0,590.1,1140
2026-04-05,24.00,90.0,420.5,920
2026-04-12,24.00,30.0,310.8,845
2026-04-19,23.50,0.0,395.2,910
2026-04-26,23.50,2950.0,680.4,1365
2026-05-03,24.99,120.0,320.0,855
2026-05-10,24.99,55.0,275.5,815
2026-05-17,24.99,40.0,290.2,830
